Flood_ID,ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration,Language_ISO_639_3,Local_Languages
172,CAN,Canada,Northern America,Americas,"Fraser Valley, Okanagan-Similkameen, Thompson-Nicola,Vancouver (British Columbia)",,2021-11-13,2021-11-16,3,"eng, fra","English, French"
173,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"La Paz, Cochabamba, Chuquisaca, Potosi, Tarija, Santa Cruz","Yapacani, Surutu, Pirai, Grande, Mizque Rivers",2021-12-18,2022-01-05,18,spa,Spanish
174,ECU,Ecuador,Latin America and the Caribbean,Americas,"Guayas, Cotopaxi, El Oro and Los Ríos; Quito (Pichincha)",,2022-01-28,2022-02-07,10,spa,Spanish
175,PRI,Puerto Rico,Latin America and the Caribbean,Americas,San Juan area,,2022-02-04,2022-02-06,2,"spa, eng","Spanish, English"
176,DOM,Dominican Republic,Latin America and the Caribbean,Americas,Puerto Plata Province,,2022-03-05,2022-03-06,1,spa,Spanish
177,COL,Colombia,Latin America and the Caribbean,Americas,"Nariño department, Melgar Municipality (Tolima Department)",,2022-04-01,2022-04-21,20,spa,Spanish
178,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,"Táchira, Mérida, Trujillo, Zulia, Lara, Falcón, Aragua, Carabobo, Portuguesa, Apure, Vargas and Caracas Capital District",,2022-04-25,2022-06-29,65,spa,Spanish
179,CAN,Canada,Northern America,Americas,Southern Manitoba Province,,2022-04-22,2022-04-25,3,"eng, fra","English, French"
180,GTM,Guatemala,Latin America and the Caribbean,Americas,"Tucurú Municipality (Alta Verapaz); Guatemala, Huehuetenango, Quiché, Santa Rosa, Solóla, Gualán, Zacapa, Retalhuleu, Suchitepéquez, Quetzaltenango",,2022-05-01,2022-09-11,133,spa,Spanish
181,MEX,Mexico,Latin America and the Caribbean,Americas,Nuevo León State,,2022-09-03,2022-09-05,2,spa,Spanish
182,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,"Guanta, Sotillo, Puerto La Cruz, Valle Verde (Anzoátegui State)",,2022-11-04,2022-11-04,0,spa,Spanish
183,BRA,Brazil,Latin America and the Caribbean,Americas,"Ceara, Maranhao, Para, Pernambuco, and Piau States",,2023-03-16,2023-03-23,7,por,Portuguese
184,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,Cobija City (Pando Department),,2023-03-27,2023-03-29,2,spa,Spanish
185,BRA,Brazil,Latin America and the Caribbean,Americas,"Santa Cruz Cabrália, Ilhéus, Belmonte, Porto Seguro and Itapebi (Bahia state)",,2023-04-25,2023-04-27,2,por,Portuguese
186,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,El Callao City (Bolivar State),,2023-06-01,2023-06-05,4,spa,Spanish
187,URY,Uruguay,Latin America and the Caribbean,Americas,"Artigas, Paysandú, and Salto Departments","Tacuarembó Chico River, Sandú, Sauce del Conventos and Convento streams",2023-10-30,2023-11-18,19,spa,Spanish
188,BRA,Brazil,Latin America and the Caribbean,Americas,"Arroio do Meio, Colinas, Cruzeiro do Sul, Encantado, Estrela, Lajeado, Muçum, Roca Sales, Santa Tereza and Taquari (Rio Grande do Sul)",,2023-11-13,2023-11-19,6,por,Portuguese
189,PAN,Panama,Latin America and the Caribbean,Americas,"Calovébora Commune (Veraguas Province, western Panama); Colon Province (eastern Panama)",rio Bejuco,2020-08-09,2020-08-09,0,spa,Spanish
190,PRY,Paraguay,Latin America and the Caribbean,Americas,Conception City,,2021-01-16,2021-01-20,4,spa,Spanish
191,USA,United States of America,Northern America,Americas,"Mississippi, Tennessee",Pearl River,2020-02-10,2020-02-17,7,eng,English
192,PER,Peru,Latin America and the Caribbean,Americas,"Maranon Province , Huanuco Department (central Peru)",,2020-03-28,2020-04-02,5,spa,Spanish
193,GTM,Guatemala,Latin America and the Caribbean,Americas,"Huehuetenango, Petén , Sayaxché Departments",,2020-06-17,2020-06-17,0,spa,Spanish
194,URY,Uruguay,Latin America and the Caribbean,Americas,"Montevideo, Lavalleja, Colonia, Canelones",,2020-06-22,2020-06-24,2,spa,Spanish
195,COL,Colombia,Latin America and the Caribbean,Americas,"Antioquia, Meta, Putumayo, Tolima, Choco, Caldas departments",,2020-07-01,2020-07-15,14,spa,Spanish
196,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Cochabamba, Tarija, Beni, La Paz Departments",Taquiña River,2021-01-16,2021-01-20,4,spa,Spanish
197,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Sucre City (Chuquisaca Department), Paz Department, Potosì Department, Cochabamba Department",,2021-01-17,2021-01-27,10,spa,Spanish
198,ECU,Ecuador,Latin America and the Caribbean,Americas,Piñas Canton (El Oro); Chunchi Canton (Chimborazo),,2021-02-01,2021-03-14,41,spa,Spanish
199,PER,Peru,Latin America and the Caribbean,Americas,"Yurimaguas District (Alto Amazonas Province, Loreto Region); Piura, Amazonas, and San Martin regions",,2021-03-20,2021-03-31,11,spa,Spanish
200,USA,United States of America,Northern America,Americas,"Todd, Christian, Breathitt, Lee and Magoffin Counties (Kentucky); Tennessee, West Virginia, Arkansas, Ohio, and Maryland",,2021-02-25,2021-03-01,4,eng,English
201,ARG,Argentina,Latin America and the Caribbean,Americas,"Catamarca, Tinogasta, Belén",,2021-03-01,2021-03-01,0,spa,Spanish
